"Complete Name","Geo Latitude","Geo Longitude","Street","Street2","City","Country","Phone","Email","Tags"
"Ernie's Automotive Electronics", "40.2316917", "-74.1111321", "3212 Shafto Road", "", "Tinton Falls", "United States", "+1 732-838-3181", "Erniesautomotiveelectronics@gmail.com", "Dealer"
"110 Customs","41.7298265","-88.3560065","1451 Aucutt Road","","Montgomery","United States","'+1 630-300-3886","daniele@110customs.com","Dealer"
"1170 Designs","41.7073639","-71.4912731","1170 Bald Hill Road","","Warwick","United States","'+1 401-415-0778","jennifer@1170designs.net","Dealer"
"12 Volt Car Audio & Security","43.7538559","-79.6187584","1 Steinway Blvd","Unit 8","Etobicoke","Canada","'+1 416-748-5803","sebastiansliwinski1@gmail.com","Dealer"
"12 Volt Precision","41.4177229","-81.8049717","15375 Brookpark Rd.","Unit C","Brookpark","United States","'+1 216-712-1243","tyler.anderson@12voltprecision.com","Dealer"
"12 Volt Specialist","39.6502645","-75.7156452","42 Albe Drive","Suite B","Newark","United States","'+1 302-319-3600","12voltspecialistllc@gmail.com","Dealer"
"12v Accessories","42.6248602","-71.3525527","181 Stedman St.","Unit 8","Lowell","United States","'+1 978-533-1632","lnieves@12vaccessories.com","Dealer"
"12volt Solutions","36.0788197","-95.8390828","12330 E. 60th Street","","Tulsa","United States","'+1 918-853-1389","clay@12volt.solutions, zach@12volt.solutions","Dealer"
"2 Loud Audio","41.6313","-70.9000668","44 Laurel St.","","Fairhaven","United States","'+1 508-989-6024","tommy.2loudaudio@gmail.com","Dealer"
"212 Motoring","40.5853352","-73.9273481","3939 Emmons Ave","","Brooklyn","United States","'+1 718-743-3200","mobileuniverse@aol.com","Dealer"
"290 Car Audio","29.9958045","-95.6773879","16726 Huffmeister Rd","Suite A200","Cypress","United States","'+1 281-758-4290","290caraudio@gmail.com","Dealer"
"316 Customs","37.6949094","-97.4252396","7110 W Central Ave","","Wichita","United States","'+1 316-239-7849","jordan@316customs.com","Dealer"
